id,nombre,apellido
1,Robert,De Niro
2,Jack,Nicholson
3,Marlon,Brando
4,Denzel,Washington
5,Katharine,Hepburn
6,Humphrey,Bogart
7,Meryl,Streep
8,Daniel,Day-Lewis
9,Sidney,Poitier
10,Clark,Gable
11,Ingrid,Bergman
12,Tom,Hanks
13,Elizabeth,Taylor
14,Bette,Davis
15,Gregory,Peck
16,Leonardo,DiCaprio
17,Cate,Blanchett
18,Audrey,Hepburn
19,Spencer,Tracy
20,Kate,Winslet
21,Shah Rukh,Khan
22,Viola,Davis
23,Sophia,Loren
24,Cary,Grant
25,Vivien,Leigh
26,Marilyn,Monroe
27,Laurence,Olivier
28,James,Stewart
29,Steve,McQueen
30,Diane,Keaton
31,Julia,Roberts
32,Jodie,Foster
33,Judy,Garland
34,Morgan,Freeman
35,Paul,Newman
36,Henry,Fonda
37,Catherine,Deneuve
38,Grace,Kelly
39,Helen,Mirren
40,James,Cagney
41,Angela,Bassett
42,Johnny,Depp
43,Greta,Garbo
44,Olivia,de Havilland
45,Charles,Chaplin
46,Setsuko,Hara
47,Julie,Andrews
48,Montgomery,Clift
49,Isabelle,Huppert
50,Al,Pacino
51,Rita,Hayworth
52,Halle,Berry
53,James,Dean
54,Kirk,Douglas
55,Natalie,Wood
56,Marcello,Mastroianni
57,Joan,Crawford
58,Harrison,Ford
59,Susan,Sarandon
60,Gene,Kelly
61,Glenn,Close
62,Joan,Fontaine
63,Julianne,Moore
64,Will,Smith
65,Bruce,Lee
66,Regina,King
67,Angelina,Jolie
68,John,Wayne
69,Jane,Fonda
70,Charlton,Heston
71,Gary,Cooper
72,Anthony,Hopkins
73,Liv,Ullmann
74,Natalie,Portman
75,Gerard,Depardieu
76,Forest,Whitaker
77,Sandra,Bullock
78,Deborah,Kerr
79,Toshiro,Mifune
80,Dustin,Hoffman
81,Mohanlal,Viswanathan
82,Emma,Thompson
83,Tom,Cruise
84,Michelle,Pfeiffer
85,Faye,Dunaway
86,Samuel L.,Jackson
87,Peter,O'Toole
88,Heath,Ledger
89,Penelope,Cruz
90,Nicole,Kidman
91,Chadwick,Boseman
92,Antonio,Banderas
93,Sigourney,Weaver
94,Salma,Hayek
95,Don,Cheadle
96,Frances,McDormand
97,Kathy,Bates
98,Omar,Sharif
99,Amy,Adams
100,Joaquin,Phoenix
101,Winona,Ryder
