id_director,nombre
1,Adrian Lyne
2,Akira Kurosawa
3,Alan J. Pakula
4,Alfred Hitchcock
5,Ang Lee
6,Anne Fletcher
7,Anthony Harvey
8,Arthur Penn
9,Baz Luhrmann
10,Billy Wilder
11,Blake Edwards
12,Bruce Lee
13,Charles Chaplin
14,Charles Vidor
15,Christopher Nolan
16,Coen Brothers
17,Darren Aronofsky
18,David Fincher
19,David Lean
20,Denis Villeneuve
21,Denzel Washington
22,Elia Kazan
23,Ernst Lubitsch
24,Farhan Akhtar
25,Federico Fellini
26,Francis Ford Coppola
27,Francis Lawrence
28,Frank Capra
29,Fred Zinnemann
30,Garry Marshall
31,Gene Kelly
32,Ingmar Bergman
33,James Cameron
34,James Mangold
35,Jean-Paul Rappeneau
36,John Sturges
37,Jonathan Demme
38,Joseph L. Mankiewicz
39,Julie Taymor
40,Kevin Macdonald
41,Luis Buñuel
42,Martin Campbell
43,Martin McDonagh
44,Martin Scorsese
45,Michael Curtiz
46,Mike Nichols
47,Nicholas Ray
48,Norman Jewison
49,Otto Preminger
50,Paul Haggis
51,Paul Thomas Anderson
52,Paul Verhoeven
53,Pitof
54,Quentin Tarantino
55,Ridley Scott
56,Rob Reiner
57,Robert Aldrich
58,Robert Mulligan
59,Robert Rossen
60,Robert Wise
61,Robert Zemeckis
62,Roman Polanski
63,Ryan Coogler
64,Sibi Malayil
65,Sidney Lumet
66,Spike Jonze
67,Stanley Donen
68,Stanley Kramer
69,Stanley Kubrick
70,Stephen Frears
71,Steven Spielberg
72,Sydney Pollack
73,Taylor Hackford
74,Tim Burton
75,Todd Haynes
76,Tony Scott
77,Victor Fleming
78,Vittorio De Sica
79,Walter Lang
80,William Wyler
81,Woody Allen
82,Yasujiro Ozu
